,Country,Plant,Capacity (MW),Status,Status 2016 (done by Data4Good),Status 2017 (done by Data4Good),Status 2018 (done by Data4Good),Status 2019 (done by Data4Good),Combustion technology,Coal type,Latitude,Longitude,Annual CO2 (million tonnes / annum),Annual CO2 emissions (millions of tonnes) in 2016,Annual CO2 emissions (millions of tonnes) in 2017,Annual CO2 emissions (millions of tonnes) in 2018,Annual CO2 emissions (millions of tonnes) in 2019
0,Albania,Porto Romano Power Station,800,Cancelled,Not operating,Not operating,Not operating,Not operating,Ultra-super,Bituminous,41.371140000000004,19.4252,3.217105459,,,,
1,Argentina,Río Turbio power station,120,Mothballed,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,-51.54600000000001,-72.2313,0.6091810091,,,,
2,Argentina,Río Turbio power station,120,Shelved,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,-51.54600000000001,-72.2313,0.6091810091,,,,
3,Argentina,San Nicolás power station,350,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-33.3549,-60.1729,1.998875186,1.998875186,1.998875186,1.998875186,1.998875186
4,Australia,Anglesea power station,160,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Lignite,-38.3865,144.1821,1.0478571620000001,,,,
5,Australia,Arckaringa Coal-to-Liquids and Power Project,560,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,-27.9389,134.7261,2.379775219,,,,
6,Australia,Arckaringa Coal-to-Liquids and Power Project,280,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,-27.9389,134.7261,1.427865131,,,,
7,Australia,Bayswater power station,2 000,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,-32.395,150.9492,8.499197211,,,,
8,Australia,Bayswater power station,660,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-32.394,150.9501,3.4900995310000003,3.4900995310000003,3.4900995310000003,3.4900995310000003,3.4900995310000003
9,Australia,Bayswater power station,660,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-32.394,150.9501,3.4900995310000003,3.4900995310000003,3.4900995310000003,3.4900995310000003,3.4900995310000003
10,Australia,Bayswater power station,660,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-32.394,150.9501,3.4900995310000003,3.4900995310000003,3.4900995310000003,3.4900995310000003,3.4900995310000003
11,Australia,Bayswater power station,660,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-32.394,150.9501,3.4900995310000003,3.4900995310000003,3.4900995310000003,3.4900995310000003,3.4900995310000003
12,Australia,Bluewaters power station,233,Operating,Operating,Operating,Operating,Operating,Subcritical,Sub-bit,-33.3322,116.228,1.301713439,1.301713439,1.301713439,1.301713439,1.301713439
13,Australia,Bluewaters power station,233,Operating,Operating,Operating,Operating,Operating,Subcritical,Sub-bit,-33.3322,116.228,1.301713439,1.301713439,1.301713439,1.301713439,1.301713439
14,Australia,Bluewaters power station,208,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Sub-bit,-33.3322,116.228,1.0726565670000001,,,,
15,Australia,Bluewaters power station,208,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Sub-bit,-33.3322,116.228,1.0726565670000001,,,,
16,Australia,Callide Oxyfuel Project,30,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical/CCS,Bituminous/Sub-bit,-24.3472,150.6171,0.2925258919,,,,
17,Australia,Callide power station,350,Operating,Operating,Operating,Operating,Operating,Subcritical,Sub-bit,-24.3472,150.6171,2.030569824,2.030569824,2.030569824,2.030569824,2.030569824
18,Australia,Callide power station,350,Operating,Operating,Operating,Operating,Operating,Subcritical,Sub-bit,-24.3472,150.6171,2.030569824,2.030569824,2.030569824,2.030569824,2.030569824
19,Australia,Callide power station,460,Operating,Operating,Operating,Operating,Operating,Supercritical,Sub-bit,-24.3472,150.6171,2.1013186040000003,2.1013186040000003,2.1013186040000003,2.1013186040000003,2.1013186040000003
20,Australia,Callide power station,460,Operating,Operating,Operating,Operating,Operating,Supercritical,Sub-bit,-24.3472,150.6171,2.1013186040000003,2.1013186040000003,2.1013186040000003,2.1013186040000003,2.1013186040000003
21,Australia,Collie power station,350,Operating,Operating,Operating,Operating,Operating,Subcritical,Sub-bit,-33.3431,116.2608,1.955363534,1.955363534,1.955363534,1.955363534,1.955363534
22,Australia,Collinsville (Shine Energy) power station,1 000,Announced,Not operating,Not operating,Not operating,Not operating,unknown,Bituminous,-20.5451,147.8046,4.183267722,,,,
23,Australia,Collinsville power station,30,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Sub-bit,-20.5451,147.8046,0.1869413489,,,,
24,Australia,Collinsville power station,30,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Sub-bit,-20.5451,147.8046,0.1869413489,,,,
25,Australia,Collinsville power station,30,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Sub-bit,-20.5451,147.8046,0.1869413489,,,,
26,Australia,Collinsville power station,30,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Sub-bit,-20.5451,147.8046,0.1869413489,,,,
27,Australia,Collinsville power station,60,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Sub-bit,-20.5451,147.8046,0.3738826978,,,,
28,Australia,Coolimba power station,150,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,Sub-bit,-29.8167,115.2667,0.764927749,,,,
29,Australia,Coolimba power station,150,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,Sub-bit,-29.8167,115.2667,0.764927749,,,,
30,Australia,Coolimba power station,150,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,Sub-bit,-29.8167,115.2667,0.764927749,,,,
31,Australia,Dual Gas power station,300,Cancelled,Not operating,Not operating,Not operating,Not operating,IGCC,Lignite,-38.251999999999995,146.4163,1.2894026920000001,,,,
32,Australia,Dual Gas power station,300,Cancelled,Not operating,Not operating,Not operating,Not operating,IGCC,Lignite,-38.251999999999995,146.4163,1.2894026920000001,,,,
33,Australia,Energy Brix power station,30,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Lignite,-38.254,146.4137,0.1964732179,,,,
34,Australia,Energy Brix power station,30,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Lignite,-38.254,146.4137,0.1964732179,,,,
35,Australia,Energy Brix power station,30,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Lignite,-38.254,146.4137,0.1964732179,,,,
36,Australia,Energy Brix power station,60,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Lignite,-38.254,146.4137,0.3929464358,,,,
37,Australia,Eraring power station,720,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-33.0622,151.5214,3.807381307,3.807381307,3.807381307,3.807381307,3.807381307
38,Australia,Eraring power station,720,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-33.0622,151.5214,3.807381307,3.807381307,3.807381307,3.807381307,3.807381307
