,latitude,longitude,Data source,CO2/CO2e emissions source,CO2/CO2e emissions (in tonnes per year),CO2 or CO2e
165,41.8723889,12.4801802,Opendatasoft,City,,CO2
167,42.331427000000005,-83.0457538,Opendatasoft,City,5520240.0,CO2e
169,51.504858,-0.078689,Opendatasoft,City,20620000.0,CO2e
170,-34.928499,138.600746,Opendatasoft,City,63724.0,CO2e
171,40.440624799999995,-79.9958864,Opendatasoft,City,2073556.0,CO2e
181,37.98381,23.727539,Opendatasoft,City,1260355.0,CO2e
182,43.250021000000004,-79.866091,Opendatasoft,City,6304593.0,CO2e
184,45.508669899999994,-73.5539925,Opendatasoft,City,13634331.0,CO2e
187,52.6333,-1.1333,Opendatasoft,City,,CO2
189,-0.2333,-78.5167,Opendatasoft,City,4653611.0,CO2e
194,-26.2041028,28.047305100000003,Opendatasoft,City,9068358.0,CO2e
195,10.469640400000001,-66.8037185,Opendatasoft,City,14364103.0,CO2e
197,37.4419,-122.14299999999999,Opendatasoft,City,152631.0,CO2e
198,41.608629,-0.8870120000000001,Opendatasoft,City,1175162.74,CO2
199,37.263572700000005,127.02860090000001,Opendatasoft,City,3670140.0,CO2e
200,35.2141598,33.294754100000006,Opendatasoft,City,,CO2e
201,35.181446,136.906398,Opendatasoft,City,7690000.0,CO2e
202,38.3434574,26.553613000000002,Opendatasoft,City,404.65,CO2
205,49.8997541,-97.13749370000001,Opendatasoft,City,5167453.0,CO2e
206,41.499320000000004,-81.6943605,Opendatasoft,City,7750563.0,CO2e
208,53.34447900000001,-6.270843,Opendatasoft,City,,CO2
210,33.8622,-118.3995,Opendatasoft,City,123218.0,CO2e
215,40.0274,-105.2519,Opendatasoft,City,741287.0,CO2e
218,32.780139899999995,-96.80045109999999,Opendatasoft,City,119881.0,CO2e
222,-22.9054389,-43.5614471,Opendatasoft,City,16171533.999999998,CO2e
225,51.481581,-3.17909,Opendatasoft,City,,CO2
226,42.314937,-83.036363,Opendatasoft,City,2475703.0,CO2e
227,54.68715600000001,25.279651,Opendatasoft,City,1994560.0,CO2e
228,37.566534999999995,126.9779692,Opendatasoft,City,25082520.0,CO2e
229,47.36864979999999,8.539182499999999,Opendatasoft,City,,CO2e
231,31.945366999999997,35.928371999999996,Opendatasoft,City,3322603.0,CO2e
232,37.226486,-76.00259399999999,Opendatasoft,City,1257464.0,CO2e
234,60.17332439999999,24.9410248,Opendatasoft,City,2096206.0,CO2e
235,-12.046374,-77.042793,Opendatasoft,City,12378734.0,CO2e
236,53.544389,-113.4909267,Opendatasoft,City,10215142.0,CO2e
239,37.7749295,-122.4194155,Opendatasoft,City,4186111.0,CO2e
241,-12.97304,-38.502303999999995,Opendatasoft,City,3242166.0,CO2e
242,39.767625,-86.17846899999999,Opendatasoft,City,726155.11,CO2
243,-6.5971470000000005,106.80603899999998,Opendatasoft,City,954020.0,CO2e
244,38.763669,-9.30148,Opendatasoft,City,,CO2
248,-33.448890000000006,-70.669265,Opendatasoft,City,23120027.8,CO2e
249,47.5619,7.5928,Opendatasoft,City,783932.0,CO2e
252,46.056946999999994,14.505751,Opendatasoft,City,1829808.0,CO2e
255,37.271,-79.9414,Opendatasoft,City,,CO2e
257,59.913868799999996,10.7522454,Opendatasoft,City,1094422.0,CO2e
258,9.028874,38.754366,Opendatasoft,City,3708292.0,CO2e
261,41.30284,-8.65731,Opendatasoft,City,49910.0,CO2
262,22.288080899999997,114.13980149999999,Opendatasoft,City,44876460.0,CO2e
264,-25.746111,28.188056,Opendatasoft,City,4648959.0,CO2e
268,44.48560870000001,11.3547975,Opendatasoft,City,,CO2
270,38.722252399999995,-9.1393366,Opendatasoft,City,1023910.0,CO2
271,37.3797,-122.1375,Opendatasoft,City,47552.0,CO2
272,34.09,-118.3617,Opendatasoft,City,,CO2
273,48.692054,6.184417,Opendatasoft,City,,CO2e
274,-16.686891199999998,-49.2647943,Opendatasoft,City,,CO2e
277,39.9611755,-82.9987942,Opendatasoft,City,5487400.0,CO2e
279,24.993628,121.30098000000001,Opendatasoft,City,21143194.6,CO2e
281,49.261226,-123.11392679999999,Opendatasoft,City,2389748.0,CO2e
282,37.456255999999996,126.705206,Opendatasoft,City,57719912.00000001,CO2e
284,44.8357395,11.6189949,Opendatasoft,City,,CO2e
285,34.0522342,-118.24368490000002,Opendatasoft,City,19595119.0,CO2e
286,-2.170998,-79.922359,Opendatasoft,City,5429899.0,CO2e
289,51.9163716,4.4509382,Opendatasoft,City,17840039.0,CO2
290,25.0111,121.4458,Opendatasoft,City,6149934.0,CO2e
291,37.019355,-7.930439999999999,Opendatasoft,City,128.0,CO2
