,City name,Country,Scope-1 GHG emissions [tCO2 or tCO2-eq],Scope-1 source dataset,Scope-1 GHG emissions units,Year of emission,City location (CDP) [degrees],Population (CDP),Population year (CDP),latitude,longitude
0,Toronto,Canada,16151019.0,CDP,tCO2,2013,"43.653226,-79.3831843",2753100.0,2011.0,43.653226000000004,-79.3831843
1,Santiago de Cali,Colombia,,CDP,tCO2-eq,2010,"3.451647,-76.531985",2369829.0,2015.0,3.451647,-76.53198499999999
4,Milano,Italy,3728678.0,CDP,tCO2,2013,"45.802578,9.086356",1350680.0,2014.0,45.802578000000004,9.086356
5,Hayward,USA,861854.0,CDP,tCO2-eq,2015,"37.6689,-122.0808",158985.0,2015.0,37.6689,-122.0808
6,Tokyo,Japan,27611000.0,CDP,tCO2-eq,2014,"35.6896342,139.6921007",13513734.0,2015.0,35.6896342,139.6921007
7,Aerøskøbing,Denmark,,CDP,tCO2,2015,"54.891456,10.404684",6200.0,2015.0,54.891456000000005,10.404684
11,Palmas,Brazil,589055.31,CDP,tCO2-eq,2013,"-10.249091,-48.324286",272726.0,2015.0,-10.249091,-48.324286
13,Seattle,USA,5150000.0,CDP,tCO2-eq,2012,"47.6062095,-122.3320708",662400.0,2015.0,47.6062095,-122.33207079999998
14,Udine,Italy,438005.0,CDP,tCO2,2013,"46.0667,13.2333",99528.0,2013.0,46.0667,13.2333
15,San Luis Potosí,Mexico,1096122.89,CDP,tCO2-eq,2015,"22.173333,-100.97005",824229.0,2015.0,22.173333,-100.97005
17,"Richmond, VA",USA,1470127.0,CDP,tCO2,2013,"37.540725,-77.436048",217853.0,2014.0,37.540725,-77.436048
20,Manchester,United Kingdom,9587290.0,CDP,tCO2-eq,2013,"53.4575955,-2.1578377",2762000.0,2014.0,53.4575955,-2.1578377
21,Piacenza,Italy,,CDP,tCO2,1990,"45.0519969,9.6926451",102269.0,2014.0,45.0519969,9.6926451
22,Albany,USA,663997.0,CDP,tCO2-eq,2010,"42.6526,-73.7562",97856.0,2010.0,42.6526,-73.7562
23,Houston,USA,16075539.0,CDP,tCO2-eq,2014,"29.7601927,-95.3693896",2195914.0,2013.0,29.760192699999998,-95.36938959999999
26,Reno,USA,1371400.0,CDP,tCO2-eq,2014,"39.5296,-119.8138",236995.0,2014.0,39.5296,-119.8138
28,Heidelberg,Germany,,CDP,tCO2,2011,"49.398752,8.672434",144948.0,2014.0,49.398752,8.672433999999999
29,Warsaw,Poland,7930452.0,CDP,tCO2,2014,"52.2296756,21.0122287",1626514.0,2016.0,52.2296756,21.012228699999998
30,Porto Alegre,Brazil,,CDP,tCO2-eq,2013,"-3.672722,-45.3831",1409351.0,2010.0,-3.6727220000000003,-45.3831
31,"Somerville, MA",USA,461798.0,CDP,tCO2-eq,2014,"42.393449,-71.082647",78900.0,2014.0,42.393449,-71.082647
34,Santa Monica,USA,119026.0,CDP,tCO2-eq,2015,"34.0219,-118.4814",92000.0,2014.0,34.0219,-118.4814
36,Santarém,Portugal,245483.0,CDP,tCO2,2006,"39.236669,-8.685994",61752.0,2011.0,39.236669,-8.685994
39,Makati,Philippines,462586.0,CDP,tCO2-eq,2011,"14.559004,121.081632",529039.0,2010.0,14.559004000000002,121.08163200000001
40,Austin,USA,6439000.0,CDP,tCO2-eq,2013,"30.2672,-97.7431",888204.0,2015.0,30.2672,-97.7431
41,Baltimore,USA,4019044.0,CDP,tCO2-eq,2014,"39.2903848,-76.6121893",614664.0,2016.0,39.2903848,-76.6121893
42,District of Columbia,USA,3132786.0,CDP,tCO2-eq,2013,"38.9071923,-77.0368707",672228.0,2015.0,38.9071923,-77.03687070000001
43,Batangas,Philippines,344419.0,CDP,tCO2-eq,2010,"13.756465,121.058308",332458.0,2015.0,13.756464999999999,121.05830800000001
44,Madrid,Spain,6795577.0,CDP,tCO2-eq,2013,"40.1076253,-3.3875673",3156572.0,2015.0,40.107625299999995,-3.3875672999999997
50,Genova,Italy,,CDP,tCO2,2011,"44.347961,9.318415",592995.0,2014.0,44.347961,9.318415
51,Sydney,Australia,359064.0,CDP,tCO2-eq,2015,"-33.8674869,151.2069902",205339.0,2015.0,-33.8674869,151.20699019999998
52,Hamburg,Germany,,CDP,tCO2,2013,"53.5510846,9.9936818",1762791.0,2014.0,53.5510846,9.993681800000001
53,Kaohsiung,Taiwan,43502687.67,CDP,tCO2-eq,2014,"22.629705,120.343804",2778729.0,2015.0,22.629704999999998,120.343804
55,Barreiro,Portugal,203441.0,CDP,tCO2,2014,"38.660815,-9.079072",78764.0,2011.0,38.660815,-9.079072
58,Porto,Portugal,,CDP,tCO2-eq,2009,"41.1579438,-8.6291053",238954.0,2011.0,41.1579438,-8.6291053
59,San Antonio,USA,7214051.0,CDP,tCO2-eq,2013,"29.4241,-98.4936",1400000.0,2012.0,29.4241,-98.4936
