xco2;yearmonth
400.4561308962127;1601
404.79656034784387;1809
408.63329987679856;1903
409.19623519400125;1912
402.72433279145713;1701
409.52251675663615;1906
407.6837585288238;1909
405.37417328163224;1810
404.267726302568;1712
405.15625823639573;1802
405.3865592119696;1807
406.6914806549711;1806
406.0137927301061;1811
404.6130364379264;1706
397.1411983643511;1412
408.58671854500807;1907
397.4488539577091;1508
407.9104977360547;1908
403.16976397760754;1710
399.3998716077096;1504
409.3328656829057;1904
405.9635535520236;1803
403.1192416215079;1702
402.6838715173987;1709
401.26618359933633;1607
407.15646938904086;1805
406.6553221300155;1804
399.82853694689527;1512
407.5935872217949;1902
398.494266883645;1510
398.032829329775;1502
395.87818442136967;1410
399.95472902955066;1505
396.6049113036989;1411
404.6273707661944;1704
402.5266003836602;1606
397.61163141430137;1501
408.1220734706071;1910
402.1761303713802;1612
401.6441940736211;1611
403.8422202643375;1703
400.48311588950986;1609
403.2829833031801;1707
409.7867020547775;1905
402.7828689752249;1604
403.78413367147584;1711
399.2275955871074;1511
399.34203481060746;1506
408.66491717548985;1911
398.57866791424715;1503
407.23581328589927;1901
401.7341727238528;1603
404.6410176461028;1801
395.4638340064117;1409
400.3990380360866;1608
401.04182507750977;1602
403.0815027577195;1605
405.0389330577134;1705
401.0590830594593;1610
406.75514819877304;1812
404.7848393177189;1808
397.60851784310216;1509
398.23637739585024;1507
410.7073538049095;2001
411.51864898001514;2002
411.9493262410011;2003
412.60;2004
