,country_long,capacity_mw,latitude,longitude,primary_fuel,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh,gCO2/KWh,generation_gwh_2017_with_estimated_data,tCO2_emitted_in_2013,tCO2_emitted_in_2014,tCO2_emitted_in_2015,tCO2_emitted_in_2016,tCO2_emitted_in_2017,tCO2_emitted_in_2017_with estimated_data
0,Afghanistan,42.0,34.5638,69.1134,Gas,,,,,,,443,,,,,,,
1,Algeria,520.0,35.8665,6.0262,Gas,,,,,,2152.249818828645,443,2152.249818828645,,,,,,953446.6697410897
2,Algeria,71.0,36.8924,7.7634,Gas,,,,,,293.8648791092957,443,293.8648791092957,,,,,,130182.141445418
3,Algeria,560.0,36.5988,3.1375,Gas,,,,,,2317.807497200079,443,2317.807497200079,,,,,,1026788.7212596351
4,Algeria,100.0,36.5914,2.9223,Gas,,,,,,413.89419592858565,443,413.89419592858565,,,,,,183355.12879636345
5,Algeria,450.0,36.596,2.878,Gas,,,,,,1862.523881678635,443,1862.523881678635,,,,,,825098.0795836353
6,Algeria,450.0,35.5658,-0.9386,Gas,,,,,,1862.523881678635,443,1862.523881678635,,,,,,825098.0795836353
7,Algeria,292.0,35.7666,7.3619,Gas,,,,,,1208.57105211147,443,1208.57105211147,,,,,,535396.9760853812
8,Algeria,1200.0,36.5767,2.0797,Gas,,,,,,4966.730351143026,443,4966.730351143026,,,,,,2200261.545556361
9,Algeria,418.0,36.7489,3.0823,Gas,,,,,,1730.0777389814875,443,1730.0777389814875,,,,,,766424.4383687989
10,Algeria,72.0,31.6703,6.0531,Gas,,,,,,298.0038210685816,443,298.0038210685816,,,,,,132015.69273338164
11,Algeria,600.0,31.6703,6.0531,Gas,,,,,,2483.365175571513,443,2483.365175571513,,,,,,1100130.7727781804
12,Algeria,200.0,31.7877,6.0517,Gas,,,,,,827.7883918571713,443,827.7883918571713,,,,,,366710.2575927269
13,Algeria,492.0,31.8065,5.9924,Gas,,,,,,2036.3594439686408,443,2036.3594439686408,,,,,,902107.2336781078
14,Algeria,588.0,36.8139,5.876,Gas,,,,,,2433.6978720600832,443,2433.6978720600832,,,,,,1078128.1573226168
15,Algeria,345.0,35.8064,-0.2476,Gas,,,,,,1427.93497595362,443,1427.93497595362,,,,,,632575.1943474537
16,Algeria,1200.0,36.885,8.0778,Gas,,,,,,4966.730351143026,443,4966.730351143026,,,,,,2200261.545556361
17,Algeria,396.0,34.5056,6.9848,Gas,,,,,,1639.0210158771988,443,1639.0210158771988,,,,,,726086.310033599
18,Algeria,840.0,35.8,-0.1924,Gas,,,,,,3476.711245800119,443,3476.711245800119,,,,,,1540183.0818894526
19,Algeria,184.0,35.8,-0.1924,Gas,,,,,,761.5653205085974,443,761.5653205085974,,,,,,337373.43698530865
20,Algeria,980.0,35.7071,4.4804,Gas,,,,,,4056.1631201001373,443,4056.1631201001373,,,,,,1796880.262204361
21,Algeria,672.0,36.8509,3.6983,Gas,,,,,,2781.3689966400952,443,2781.3689966400952,,,,,,1232146.4655115623
22,Algeria,73.0,35.7095,-0.6319,Gas,,,,,,302.1427630278675,443,302.1427630278675,,,,,,133849.2440213453
23,Algeria,465.0,35.7835,0.5407,Gas,,,,,,1924.608011067923,443,1924.608011067923,,,,,,852601.3489030899
24,Algeria,484.0,36.1399,2.9296,Gas,,,,,,2003.247908294354,443,2003.247908294354,,,,,,887438.8233743988
25,Algeria,815.0,36.8789,6.9366,Gas,,,,,,3373.237696817972,443,3373.237696817972,,,,,,1494344.2996903616
26,Algeria,150.0,32.9475,3.238,Gas,,,,,,620.8412938928783,443,620.8412938928783,,,,,,275032.6931945451
27,Algeria,262.0,36.88,6.935,Gas,,,,,,1084.402793332894,443,1084.402793332894,,,,,,480390.437446472
28,Algeria,1200.0,35.4608,-1.2295,Gas,,,,,,4966.730351143026,443,4966.730351143026,,,,,,2200261.545556361
29,Algeria,300.0,35.3396,1.3562,Gas,,,,,,1241.6825877857566,443,1241.6825877857566,,,,,,550065.3863890902
30,Algeria,200.0,33.1319,3.348,Gas,,,,,,827.7883918571713,443,827.7883918571713,,,,,,366710.2575927269
31,Algeria,600.0,33.1377,3.3678,Gas,,,,,,2483.365175571513,443,2483.365175571513,,,,,,1100130.7727781804
32,Angola,22.8,-12.4706,13.7319,Oil,,,,,,739.2929145361577,778,739.2929145361577,,,,,,575169.8875091306
33,Angola,132.0,-8.8383,13.2344,Gas,,,,,,0.0,443,0.0,,,,,,0.0
34,Angola,16.26,-12.76,15.75,Oil,,,,,,527.2325785244706,778,527.2325785244706,,,,,,410186.9460920381
