sounding_id,latitude,longitude,orbit,slope,intercept,amplitude,sigma,delta,R,windspeed_u,windspeed_v,surface_pressure,tcwv,gCO2_per_s,ktCO2_per_h,date,geometry,index_City,number_City,index_Gas power plant,number_Gas power plant,index_Oil power plant,number_Oil power plant,index_Coal power plant,number_Coal power plant,index_Cement and Lime,number_Cement and Lime,index_Glass,number_Glass,index_Power and heat,number_Power and heat,index_Ceramics,number_Ceramics,index_Pulp and paper,number_Pulp and paper,index_Chemicals,number_Chemicals,index_Iron and steel,number_Iron and steel,index_Combustion,number_Combustion,index_Non ferrous metals,number_Non ferrous metals,index_Mineral oil,number_Mineral oil,index_Coke ovens,number_Coke ovens
2019090104322106,-24.302967071533203,139.57994079589844,27478,-0.0015654883281283082,407.7202836423503,34.56783143534327,12.60295620753129,1.0942329144258385,0.6684843820882794,-2.4658582210540767,2.800513744354248,1006.418701171875,5.3163628578186035,930433.7767253312,3.3495615962111933,2019-09-01 04:32:21.060,"POLYGON ((139.2290716966676 -23.93630225261617, 139.0475838578652 -24.31365023778763, 139.2550946729272 -26.23220679774935, 141.0040384396395 -25.76110923125066, 141.7082448795079 -24.24159610074161, 139.6595942459133 -23.82047101218365, 139.2290716966676 -23.93630225261617))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2019090104322175,-24.26186943054199,139.5826416015625,27478,-0.0020009591378359307,407.7168672418622,33.954804282582714,12.732910823878827,1.0638578435399235,0.7123279302604353,-2.437206268310547,2.807593584060669,1007.4887084960938,5.147239208221436,899811.2274853925,3.239320418947413,2019-09-01 04:32:21.750,"POLYGON ((139.2350941934305 -23.8933635020358, 139.0509934482956 -24.26911115934452, 139.2432548863441 -26.18680747080776, 140.9933250626534 -25.72754071014417, 141.7084008048254 -24.21433239509741, 139.665867169623 -23.78043945003238, 139.2350941934305 -23.8933635020358))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2019090104322272,-24.198530197143555,139.60554504394528,27478,-0.002370648429899909,407.7565726851167,28.932163662703662,10.376216434829823,1.1123768881499594,0.6363519234426991,-2.387206554412842,2.82175350189209,1005.7055053710938,4.840479373931885,743588.5402261557,2.6769187448141607,2019-09-01 04:32:22.720,"POLYGON ((139.2639203436177 -23.82667647883014, 139.0750839235415 -24.19957080034764, 139.2399240144659 -26.11586911364327, 140.992319397199 -25.67787915395289, 141.7270743968361 -24.1759077739573, 139.6952158755896 -23.71898202141647, 139.2639203436177 -23.82667647883014))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2019090109454373,34.218955993652344,49.79773330688477,27481,-0.008364142604665841,407.7510080792416,28.58725278319052,9.332068790885248,1.2220938434227269,0.6144870159039774,5.610445976257324,0.754176914691925,825.3457641601562,9.442061424255373,2034114.4670009862,7.32281208120355,2019-09-01 09:45:43.730,"POLYGON ((50.45570862576596 34.290602077675, 50.15458284058185 34.68395727543894, 47.80143500956022 35.68726435654839, 47.1777220425591 33.89728870408926, 48.40837692807759 32.34861184894426, 50.28586976101402 33.84681025581165, 50.45570862576596 34.290602077675))",[nan],0,[3797.0],1,"[3782.0, 3736.0, 3777.0]",3,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2019090113024808,31.86012458801269,1.1018632650375366,27483,-0.014230023367903053,407.2951813049306,38.714785429643605,14.390586272092815,1.0732686280131674,0.8551294909470327,1.2552704811096191,-3.951777458190918,946.5128784179688,22.314302444458008,20225.97212325147,0.0728134996437053,2019-09-01 13:02:48.080,"POLYGON ((1.279528033799978 31.38016286041809, 1.646193921504293 31.66728980663946, 2.389333283470343 33.55410882656896, 0.372161525312532 33.77702409653033, -1.098005174173964 32.60774317888878, 0.7874214572053537 31.43454410444834, 1.279528033799978 31.38016286041809))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2019090113024876,31.91753387451172,1.0819423198699951,27483,-0.016071472078834022,407.34375279260377,27.66034636403824,10.42386128178254,1.0586174697516566,0.85163058233618,1.1805375814437866,-3.9336974620819087,947.170654296875,21.422306060791016,12960.755367444443,0.0466587193228,2019-09-01 13:02:48.760,"POLYGON ((1.250244821643283 31.43659881297998, 1.621350912835547 31.7178652722894, 2.398488847920123 33.58887661915012, 0.3906128156407923 33.8385872870419, -1.098911146341756 32.69287319183614, 0.7603142526514928 31.49752138802993, 1.250244821643283 31.43659881297998))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2019090116251006,46.92687225341797,-53.996498107910156,27485,0.001073437598490068,404.66384457734904,33.55541464009528,9.11854442518015,1.4680713293855292,0.6495595420525649,5.68702507019043,-0.94524347782135,995.6047973632812,7.725212574005128,2457557.4450348155,8.847206802125337,2019-09-01 16:25:10.060,"POLYGON ((-53.20210144457744 46.83350090759085, -53.37954999261742 47.28457924872336, -55.69786939068513 48.81768246022274, -57.19941632915056 47.24469653481511, -56.38370303490136 45.46383812409479, -53.58990689985369 46.45026569977017, -53.20210144457744 46.83350090759085))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[4187.0],1,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2019090116251107,46.97058868408203,-54.01051330566406,27485,0.001049508871458659,404.677698347569,25.841184712340894,7.363769190313814,1.3999815707119665,0.6528057958178779,5.4388041496276855,-0.904898464679718,994.5170288085938,8.073494911193848,1807287.6031311285,6.506235371272062,2019-09-01 16:25:11.070,"POLYGON ((-53.22537844495768 46.87832294935845, -53.40071275785656 47.32378825060914, -55.69092090401139 48.83816802689935, -57.17585712660834 47.28529194173715, -56.37092558649412 45.52631616491972, -53.60873155902738 46.49988442111575, -53.22537844495768 46.87832294935845))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[4187.0],1,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2019090205084932,-44.02369689941406,131.43281555175778,27493,-0.00940495329432308,409.0143992816583,51.405687820015046,19.3362517378416,1.0605934698495056,0.7699340826771319,7.249797821044923,-11.021732330322266,997.8969116210938,8.733257293701174,3464575.2113911817,12.472470761008255,2019-09-02 05:08:49.320,"POLYGON ((131.9578710261676 -44.5929061363299, 132.3738909794519 -44.0990601591451, 132.4731253405968 -41.40181846842572, 129.4289692630409 -41.72349761752327, 127.6957977557165 -43.64537945904999, 131.1584382578873 -44.67743534344456, 131.9578710261676 -44.5929061363299))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2019090205085076,-43.9394416809082,131.31582641601562,27493,-0.010476934368982144,409.062679122998,30.157666570951672,10.243706393715724,1.174493665767535,0.5839802468624846,7.23212194442749,-11.14820671081543,1000.8276977539062,8.837018966674805,1975630.0337328438,7.112268121438237,2019-09-02 05:08:50.760,"POLYGON ((131.8359662264924 -44.51201687696574, 132.2565091313421 -44.01925002096055, 132.3785846470645 -41.31792323197975, 129.3309897922408 -41.62620367617217, 127.5816635212213 -43.54344713809898, 131.035575106711 -44.59302338943402, 131.8359662264924 -44.51201687696574))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
