sounding_id,latitude,longitude,orbit,slope,intercept,amplitude,sigma,delta,R,windspeed_u,windspeed_v,surface_pressure,tcwv,gCO2_per_s,ktCO2_per_h,date,geometry,index_City,number_City,index_Oil power plant,number_Oil power plant,index_Coal power plant,number_Coal power plant,index_Gas power plant,number_Gas power plant,index_Cement and Lime,number_Cement and Lime,index_Glass,number_Glass,index_Power and heat,number_Power and heat,index_Ceramics,number_Ceramics,index_Pulp and paper,number_Pulp and paper,index_Chemicals,number_Chemicals,index_Iron and steel,number_Iron and steel,index_Combustion,number_Combustion,index_Non ferrous metals,number_Non ferrous metals,index_Mineral oil,number_Mineral oil,index_Coke ovens,number_Coke ovens
2016100104340504,-33.95117950439453,138.11248779296878,11969,0.004516181256627566,401.9288056148157,51.91351055104642,18.01257670952492,1.14977965767256,0.5439406420296378,1.4380134344100952,-6.502879619598389,978.4483642578124,12.397647857666016,32500.92554391911,0.1170033319581088,2016-10-01 04:34:05.040,"POLYGON ((137.4382700061397 -33.82490053458244, 137.5618303900866 -34.30100345093702, 139.4228393269155 -35.98803083920774, 140.8285594765829 -34.41896420850248, 140.2707359962097 -32.5277649417189, 137.7947441202398 -33.43971843696468, 137.4382700061397 -33.82490053458244))",[170.0],1,[208.0],1,[nan],0,"[260.0, 346.0, 359.0, 350.0, 320.0, 272.0]",6,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016100104340575,-33.916088104248054,138.08721923828122,11969,0.0034821033470835644,401.91769200122496,60.80520459805765,19.11119394931637,1.2692962588814365,0.5387392989444612,1.3626526594161987,-6.5535478591918945,982.7044067382812,12.905106544494627,118572.22750733925,0.4268600190264212,2016-10-01 04:34:05.750,"POLYGON ((137.410470732731 -33.79675060869576, 137.5413889439353 -34.27216599580709, 139.4302641160499 -35.94176432192257, 140.8123382076357 -34.35586995258046, 140.2258562863363 -32.46809152977553, 137.7614799710102 -33.40731457489702, 137.410470732731 -33.79675060869576))",[170.0],1,[208.0],1,[nan],0,"[260.0, 346.0, 359.0, 350.0, 320.0, 272.0]",6,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016100205370631,35.258827209472656,113.7790756225586,11984,-0.010817644845908015,404.4771706464418,77.92317390537919,28.140555119311752,1.1046991987942594,0.7343817770126239,-0.895440399646759,1.7280772924423218,999.6163330078124,27.078126907348643,467660.8807914185,1.6835791708491066,2016-10-02 05:37:06.310,"POLYGON ((114.2020285208073 35.07792490161375, 114.2206214130783 35.40855704374223, 113.3541539876415 36.78647521804172, 112.0684539229249 35.96736966116086, 112.0292094827983 34.64396568676263, 113.8828015566834 34.87662473101008, 114.2020285208073 35.07792490161375))",[nan],0,[nan],0,"[2136.0, 5345.0, 3264.0, 4229.0, 4246.0, 4556.0, 3254.0, 5400.0, 2142.0, 4294.0, 764.0, 5791.0, 5012.0, 766.0, 797.0, 4277.0, 3741.0, 2179.0, 3747.0, 3737.0, 4725.0, 1990.0, 2814.0, 5499.0]",24,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016100205370801,35.35874938964844,113.75043487548828,11984,-0.014779778045404559,404.1673285235836,95.35371856787948,20.4116513661664,1.8636723334046856,0.7688926119290813,-0.8460558652877808,1.9487047195434568,1001.3344116210938,27.51575088500977,409081.9884550234,1.4726951584380843,2016-10-02 05:37:08.010,"POLYGON ((114.201998517093 35.19697761431964, 114.1927377629312 35.538436544709, 113.1779524756906 36.90672441876668, 111.9262429503685 35.98868821230656, 112.0008173282919 34.62400909249531, 113.8901229893175 34.97127575605826, 114.201998517093 35.19697761431964))",[nan],0,[nan],0,"[3264.0, 4229.0, 4246.0, 4556.0, 3254.0, 5400.0, 2142.0, 4294.0, 764.0, 5791.0, 5012.0, 766.0, 797.0, 4277.0, 3737.0, 4725.0, 1990.0, 2814.0, 5499.0]",19,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016100205371037,35.448543548583984,113.7481918334961,11984,-0.01639344322505247,404.1328340462002,90.18302857929596,18.410015083519056,1.9542527755525765,0.8294210882615788,-0.8098334074020386,2.08465838432312,1002.6604614257812,28.10191535949707,283429.5091613956,1.020346232981024,2016-10-02 05:37:10.370,"POLYGON ((114.2160485145779 35.29863753687331, 114.1900471055821 35.64577185799651, 113.0881044207196 37.00489485057413, 111.8595457515201 36.02976767239188, 112.0022737495702 34.64366669372432, 113.9092207848452 35.05883705365279, 114.2160485145779 35.29863753687331))",[nan],0,[nan],0,"[3264.0, 4229.0, 4246.0, 4556.0, 3254.0, 5400.0, 2142.0, 4294.0, 764.0, 5791.0, 5012.0, 766.0, 797.0, 4277.0, 3737.0, 4725.0, 1990.0, 2814.0, 5499.0]",19,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016100205371107,35.48846435546875,113.73683166503906,11984,-0.01667060852609179,404.15618405825103,86.35799057808501,13.799258580553674,2.4966452719899923,0.7304171327145561,-0.7849150896072388,2.1450228691101074,1001.5135498046876,28.99936866760254,216402.876892816,0.7790503568141375,2016-10-02 05:37:11.070,"POLYGON ((114.2119486030611 35.34508281398927, 114.17731589299 35.69429609551406, 113.0329874812487 37.04526733691157, 111.8196463505445 36.04302103774288, 111.9972722083191 34.64927066874282, 113.9085273353994 35.09856851160774, 114.2119486030611 35.34508281398927))",[nan],0,[nan],0,"[3264.0, 4229.0, 4246.0, 4556.0, 3254.0, 5400.0, 2142.0, 4294.0, 764.0, 5791.0, 5012.0, 766.0, 797.0, 4277.0, 5243.0, 3737.0, 4725.0, 1990.0, 2814.0, 5499.0]",20,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016100205371208,35.539852142333984,113.7257843017578,11984,-0.01497302255443596,404.24314997867225,82.2387819313454,17.42590957636282,1.882744028789742,0.8116459961387633,-0.792042076587677,2.1288273334503174,1001.7723388671876,29.22582817077637,219416.53599372169,0.789899529577398,2016-10-02 05:37:12.080,"POLYGON ((114.1993212548417 35.3946603913102, 114.1670382412615 35.74333761845423, 113.0333273610246 37.09668456187405, 111.8147233630167 36.10175984292553, 111.9829793558047 34.7099771954168, 113.8946942973963 35.14996884650159, 114.1993212548417 35.3946603913102))",[nan],0,[nan],0,"[3264.0, 4229.0, 4246.0, 4556.0, 3254.0, 5400.0, 2142.0, 4294.0, 764.0, 5791.0, 5012.0, 766.0, 797.0, 4277.0, 5243.0, 3737.0, 4725.0, 1990.0, 2814.0, 5499.0]",20,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016100208560077,39.29491424560547,63.16047286987305,11986,-0.0006188646492997433,401.5094087572139,22.94494317090251,8.206801009122199,1.1153807606771995,0.5341075993001131,-3.0778625011444087,-4.128590106964111,1011.7303466796876,8.934510231018066,1495569.5571304709,5.384050405669696,2016-10-02 08:56:00.770,"POLYGON ((62.60997791489419 38.97326299919274, 63.12111988180016 38.75980762165462, 65.82618411941432 38.77123490536966, 65.41346227039931 40.55453321361431, 63.32413708103071 41.43470611751261, 62.48802759086433 39.41622953781287, 62.60997791489419 38.97326299919274))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016100212085073,21.534801483154297,18.43187522888184,11988,0.00048637368981594835,399.49211749674345,15.09374039045774,5.844500541601247,1.0302901280092402,0.6942745871821934,-4.939088821411133,-2.448590040206909,803.3934326171875,5.887025833129883,1008168.3129041394,3.6294059264549023,2016-10-02 12:08:50.730,"POLYGON ((18.17262078477422 21.04367482590511, 18.66581229102898 21.03263657510116, 20.7164056709023 22.03555131569269, 19.48693412603067 23.49482721630347, 17.47946391119058 23.53974152610516, 17.86324050106191 21.40471507571641, 18.17262078477422 21.04367482590511))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016100311145737,27.82064819335937,30.81587219238281,12002,0.004318222023642222,401.2757779715585,28.179003881876177,9.728659638401512,1.1555339055857456,0.5775814867722803,2.0491268634796143,-4.462062835693359,1011.1666259765624,19.24057388305664,390708.03851433774,1.4065489386516157,2016-10-03 11:14:57.370,"POLYGON ((30.27343204989053 28.0406050124881, 30.27857957283803 27.59297974920121, 31.43465682063057 25.77590781771042, 32.96379935993857 26.91980881978006, 32.98749156461694 28.70996670669164, 30.65759966993877 28.33130407681365, 30.27343204989053 28.0406050124881))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
