,Country,Plant,Capacity (MW),Status,Status 2016 (done by Data4Good),Status 2017 (done by Data4Good),Status 2018 (done by Data4Good),Status 2019 (done by Data4Good),Combustion technology,Coal type,Latitude,Longitude,Annual CO2 (million tonnes / annum),Total annual CO2 (million tonnes / annum),Annual CO2 emissions (millions of tonnes) in 2016,Annual CO2 emissions (millions of tonnes) in 2017,Annual CO2 emissions (millions of tonnes) in 2018,Annual CO2 emissions (millions of tonnes) in 2019
0,Albania,Porto Romano Power Station,800,Cancelled,Not operating,Not operating,Not operating,Not operating,Ultra-super,Bituminous,41.371140000000004,19.4252,3.217105459,0.0,,,,
1,Argentina,Río Turbio power station,120,Mothballed,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,-51.54600000000001,-72.2313,0.6091810089999999,0.0,,,,
3,Argentina,San Nicolás power station,350,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-33.3549,-60.1729,1.998875186,1.998875186,1.998875186,1.998875186,1.998875186,1.998875186
4,Australia,Anglesea power station,160,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Lignite,-38.3865,144.1821,1.0478571620000001,0.0,,,,
5,Australia,Arckaringa Coal-to-Liquids and Power Project,560,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,-27.9389,134.7261,2.379775219,0.0,,,,
7,Australia,Bayswater power station,2 000,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,-32.395,150.9492,8.499197211,0.0,,,,
8,Australia,Bayswater power station,660,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-32.394,150.9501,3.4900995310000003,13.96039812,13.96039812,13.96039812,13.96039812,13.96039812
12,Australia,Bluewaters power station,233,Operating,Operating,Operating,Operating,Operating,Subcritical,Sub-bit,-33.3322,116.228,1.301713439,2.603426878,2.603426878,2.603426878,2.603426878,2.603426878
16,Australia,Callide Oxyfuel Project,30,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical/CCS,Bituminous/Sub-bit,-24.3472,150.6171,0.292525892,8.263776856,,,,
21,Australia,Collie power station,350,Operating,Operating,Operating,Operating,Operating,Subcritical,Sub-bit,-33.3431,116.2608,1.955363534,1.955363534,1.955363534,1.955363534,1.955363534,1.955363534
